,white_king,white_queen,white_rook,white_bishop,white_knight,white_pawn,black_king,black_queen,black_rook,black_bishop,black_knight,black_pawn,outcome
0,0,-0.5,0,-2,-8,5.0,0,-0.5,0,-2,-8,1.0,1/2-1/2
1,0,-0.5,0,-2,-8,5.0,0,-0.5,0,-2,-3,1.0,1/2-1/2
2,0,-0.5,0,-2,-3,5.0,0,-0.5,0,-2,-3,1.0,1/2-1/2
3,0,-0.5,0,-2,-3,5.0,0,-0.5,0,-2,-3,5.0,1/2-1/2
4,0,-0.5,0,-2,-3,7.0,0,-0.5,0,-2,-3,5.0,1/2-1/2
5,0,-0.5,0,-2,-3,7.0,0,-0.5,0,0,-3,5.0,1/2-1/2
6,0,-0.5,0,-2,-3,6.0,0,-0.5,0,0,-3,5.0,1/2-1/2
7,0,-0.5,0,-2,-3,6.0,0,-0.5,0,0,-3,3.0,1/2-1/2
8,0,-0.5,0,-2,2,6.0,0,-0.5,0,0,-3,3.0,1/2-1/2
9,0,-0.5,0,-2,2,6.0,0,-0.5,0,0,-3,5.0,1/2-1/2
10,0,-0.5,0,0,2,6.0,0,-0.5,0,0,-3,5.0,1/2-1/2
11,0,-0.5,0,-1,2,6.0,0,-0.5,0,0,-3,5.0,1/2-1/2
12,0,0.5,0,-1,2,6.0,0,-0.5,0,-1,-3,5.0,1/2-1/2
13,0,0.5,0,-1,2,6.0,0,-0.5,0,-1,1.5,5.0,1/2-1/2
14,0,0.5,0,-1,2,4.5,0,-0.5,0,-1,1.5,5.0,1/2-1/2
15,0,0.5,0,-1,2,4.5,0,-0.5,0,1,1.5,5.0,1/2-1/2
16,3.0,0.5,0,-1,2,4.5,0,-0.5,0,1,1.5,5.0,1/2-1/2
17,3.0,0.5,0,-1,2,4.5,3.0,-0.5,0,1,1.5,5.0,1/2-1/2
18,3.0,0.5,0,1,2,4.5,3.0,-0.5,0,1,1.5,5.0,1/2-1/2
19,3.0,0.5,0,1,2,4.5,3.0,0,0,1,1.5,5.0,1/2-1/2
20,3.0,0.5,0.5,1,2,4.5,3.0,0,0,1,1.5,5.0,1/2-1/2
21,3.0,0.5,0.5,1,2,4.5,3.0,0,0.5,1,1.5,5.0,1/2-1/2
22,3.0,0.5,1.0,1,2,4.5,3.0,0,0.5,1,1.5,5.0,1/2-1/2
23,3.0,0.5,1.0,1,2,4.5,3.0,0,0.5,1,1.5,4.0,1/2-1/2
24,3.0,0.5,1.0,1,2,5.0,3.0,0,0.5,1,1.5,3.0,1/2-1/2
25,3.0,0.5,1.0,1,2,5.0,3.0,0,0.5,1,1.5,5.0,1/2-1/2
26,3.0,0.5,1.0,1,2,5.5,3.0,0,0.5,1,1.5,3.0,1/2-1/2
27,3.0,0.5,1.0,1,2,3.0,3.0,0,0.5,1,2.5,3.0,1/2-1/2
28,3.0,0.5,1.0,1,3,3.0,3.0,0,0.5,1,1,3.0,1/2-1/2
29,3.0,0.5,1.0,1,1,3.0,3.0,0,0.5,1,1,3.0,1/2-1/2
30,3.0,0,1.0,1,1,3.0,3.0,0,0.5,1,1,3.0,1/2-1/2
31,3.0,0,0.5,1,1,3.0,3.0,0,0,1,1,3.0,1/2-1/2
32,3.0,0,0.5,1,1,3.0,3.0,0,0,1,1,3.0,1/2-1/2
33,3.0,0,0.5,1,1,3.0,3.0,0,0.5,1,1,3.0,1/2-1/2
34,3.0,0,0,1,1,3.0,3.0,0,0,1,1,3.0,1/2-1/2
35,3.0,0,0,1,1,3.0,3.0,-0.5,0,1,1,3.0,1/2-1/2
36,3.0,-0.5,0,1,1,3.0,3.0,-0.5,0,1,1,3.0,1/2-1/2
37,3.0,0,0,1,1,3.0,3.0,-0.5,0,1,1,3.0,1/2-1/2
38,3.0,0,0,1,-3,3.0,3.0,0,0,1,1,3.0,1/2-1/2
39,3.0,0,0,0,-3,3.0,3.0,0,0,0,1,3.0,1/2-1/2
40,3.0,0,0,0,-2,3.0,3.0,0,0,0,1,3.0,1/2-1/2
41,3.0,0,0,0,-2,3.0,3.0,0,0,0,1,2.0,1/2-1/2
42,3.0,0,0,0,-2,1.0,3.0,0,0,0,1,2.0,1/2-1/2
43,3.0,0,0,0,-2,1.0,1.0,0,0,0,1,2.0,1/2-1/2
44,0,0,0,0,-2,1.0,1.0,0,0,0,1,2.0,1/2-1/2
45,0,0,0,0,-2,1.0,0,0,0,0,1,2.0,1/2-1/2
46,0,-0.5,0,-2,-8,5.0,0,-0.5,0,-2,-8,1.0,0-1
47,0,-0.5,0,-2,-8,5.0,0,-0.5,0,-2,-3,1.0,0-1
48,0,-0.5,0,-2,-8,5.5,0,-0.5,0,-2,-3,1.0,0-1
